,exp,celltype,celltype_n,modality,file,atlas_name,sum_stat,baseline_pct,umap_pct,scale,clip,clip_soft,task
91,BasalGanglia-Endo_K27Ac,BasalGanglia-Endo,914,K27Ac,./Data/source/bamCoverage_bw/Endo.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
92,BasalGanglia-Endo_K27Me3,BasalGanglia-Endo,914,K27Me3,./Data/source/bamCoverage_bw/Endo.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
93,BasalGanglia-Endo_K9Me3,BasalGanglia-Endo,914,K9Me3,./Data/source/bamCoverage_bw/Endo.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
94,BasalGanglia-Endo_RNAminus,BasalGanglia-Endo,914,RNAminus,./Data/source/ENCODE_RNA_bw/Endo.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
95,BasalGanglia-Endo_RNAplus,BasalGanglia-Endo,914,RNAplus,./Data/source/ENCODE_RNA_bw/Endo.bam_merge_plusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
96,BasalGanglia-CN-VIP-GABA_ATAC,BasalGanglia-CN-VIP-GABA,842,ATAC,./Data/source/ATAC_bw/CN_VIP_GABA.bw,BasalGanglia,mean,0.5,0.5,80.0,3.2,0.8,regression
97,BasalGanglia-CN-VIP-GABA_K27Ac,BasalGanglia-CN-VIP-GABA,842,K27Ac,./Data/source/bamCoverage_bw/CN_VIP_GABA.bam_merge_A.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
98,BasalGanglia-CN-VIP-GABA_K27Me3,BasalGanglia-CN-VIP-GABA,842,K27Me3,./Data/source/bamCoverage_bw/CN_VIP_GABA.bam_merge_B.bw,BasalGanglia,mean,0.5,0.5,2.0,128.0,32.0,regression
99,BasalGanglia-CN-VIP-GABA_K9Me3,BasalGanglia-CN-VIP-GABA,842,K9Me3,./Data/source/bamCoverage_bw/CN_VIP_GABA.bam_merge_C.bw,BasalGanglia,mean,0.5,0.5,5.5,48.0,12.0,regression
100,BasalGanglia-CN-VIP-GABA_RNAminus,BasalGanglia-CN-VIP-GABA,842,RNAminus,./Data/source/ENCODE_RNA_bw/CN_VIP_GABA.bam_merge_minusUniq.bw,BasalGanglia,sum_three_quarter,0.5,0.5,1.5,128.0,48.0,regression
